Company Name,Ticker,Optionable,Div. Yield %,Sector,Last Close,Relative Price Change,5 Yr. Hist. EPS Growth,% Change EPS (F(-1)/F(-2)),Sales Growth F(0)/F(-1),5 Yr Historical Sales Growth,ROA (5 Yr Avg),Current ROA (TTM),ROI (5 Yr Avg),Inventory Turnover,Asset Utilization,Net Margin %
"Vista Outdoor Inc.","VSTO","YES","0","Consumer Discretionary","32.69","26.84","-35.2","192.46","-14.7","-7.01","2.6691","11.43","3.6967","4.4853","1.43229","2.81"
"Visteon Corporation","VC","YES","0","Auto-Tires-Trucks","126.86","-5.83","-28.91","-180","-13.48","-4.78","6.0053","1.13","12.90999","13.331","1.10269","-2.2"
"Vonage Holdings Corp.","VG","YES","0","Computer and Technology","12.47","-12.58","-11.79","-85.87","4.93","7.19","6.209","3.21","7.7252","748.763",".91101","-2.9"
"WESCO International, Inc.","WCC","YES","0","Computer and Technology","87.38","4.6","8.34","-55","47.46","6.82","4.1212","2.66","5.86129","5.10069","1.21109",".82"
"WW International, Inc.","WW","YES","0","Consumer Discretionary","32.4","22.12","23.15","-37.23","-2.49","5.41","8.81229","7.88","15.314","16.89999",".90556","5.45"
"Waters Corporation","WAT","YES","0","Computer and Technology","302.23","10.06","8.96","-11.93","-1.71","2.7","15.74199","20.86","23.44899","3.05229",".87331","22.05"
"Welbilt, Inc.","WBT","YES","0","Industrial Products","15.85","12.27","-21.2","-113.24","-27.64","-1.97","4.94969","1.07","6.8193","3.80299",".53512","-.64"
"Western Digital Corporation","WDC","YES","0","Computer and Technology","72.82","19.8","-30.33","114","1.01","1.92","6.7392","3.01","8.6141","3.7809",".63949","1.02"
"Wynn Resorts, Limited","WYNN","YES","0","Consumer Discretionary","136.37","7","8.35","-1780.89","-68.3","-1.79","1.39429","-14.37","1.6512","22.43",".14709","-98.64"
"Xilinx, Inc.","XLNX","YES","0","Computer and Technology","130.4","-15.07","11.63","-29.05","3.39","9.17","14.901","14","19.964","3.19589",".56893","20.34"
"YPF Sociedad Anonima","YPF","YES","0","Oils-Energy","4.38","-18.67","37.95","-54.92","-18.08","-5.8",".48769","-4.7",".78842","6.20179",".38576","-11.55"
"Yandex N.V.","YNDX","YES","0","Computer and Technology","64.37","-14.3","19.3","58","4.32","27.64","8.87959","4.42","10.64799","71.30599",".46577","10.94"
"ZTO Express Cayman Inc.","ZTO","YES","0","Transportation","29.6","-7.86","15.73","-22.57","21.67","23.99","11.715","8.59","13.854","365.56698",".47512","17.08"
"Zebra Technologies Corporation","ZBRA","YES","0","Industrial Products","491.16","18.1","26.07","-7.35","-.82","6.07","10.34599","13.01","15.26","5.0128",".90008","11.33"
"Zumiez Inc.","ZUMZ","YES","0","Retail-Wholesale","43.79","8.44","33.32","13.97","-4.2","5.3","6.53999","8.25","10.47","4.5893","1.05089","7.69"
"Zynex Inc.","ZYXI","YES","0","Medical","15.29","5.25","49.71","-4.39","76.2","50.56","50.54","17.53","143.71","3.07","1.55","11.33"
"e.l.f. Beauty Inc.","ELF","YES","0","Consumer Staples","27.02","-1.24","-2.78","1801.93","5.76","4.76","4.64109","4.1","5.7726","1.80139",".64221","1.97"
"ePlus inc.","PLUS","YES","0","Computer and Technology","99.69","5.17","12.31","1.7","15.72","5.27","7.72469","6.98","15.19799","16.002","1.53139","4.56"
"iRobot Corporation","IRBT","YES","0","Industrial Products","122.65","42.09","16.59","72.41","17.82","19.5","9.9847","8.97","13.201","4.4703","1.41369","10.28"
"lululemon athletica inc.","LULU","YES","0","Consumer Discretionary","308.52","-20.93","25.7","-8.78","10.62","17.17","20.65399","16.92","28.14599","2.8531","1.2136","13.38"
