Company Name,Ticker,Optionable,Div. Yield %,Sector,Last Close,Relative Price Change,5 Yr. Hist. EPS Growth,% Change EPS (F(-1)/F(-2)),Sales Growth F(0)/F(-1),5 Yr Historical Sales Growth,ROA (5 Yr Avg),Current ROA (TTM),ROI (5 Yr Avg),Inventory Turnover,Asset Utilization,Net Margin %
"Carrols Restaurant Group, Inc.","TAST","YES","0","Retail-Wholesale","6.08","-11.27","-36.14","7.69","5.79","13.55","1.61029","-.23","1.91849","102.123",".87383","-1.9"
"Carters, Inc.","CRI","YES","0","Consumer Discretionary","92.94","-8.59",".4","-58.73","-14.06","1.08","11.53199","5.51","17.304","2.7551",".91367","3.6"
"Casella Waste Systems, Inc.","CWST","YES","0","Industrial Products","65.37","-2.63","53.25","187.83","4.21","8.51","3.54489","4.11","4.93459","65.107",".75335","11.76"
"Catalent, Inc.","CTLT","YES","0","Medical","107.03","-6.41","12.35","133.09","22.89","13.46","4.92339","5.05","5.9986","6.39359",".4465","9.98"
"Cato Corporation The","CATO","YES","0","Retail-Wholesale","12.58","17.46","-11.08","-228.53","-30.32","-9.09","3.8817","-7.63","5.2104","4.5665",".95072","-8.02"
"Cavco Industries, Inc.","CVCO","YES","0","Construction","240.36","26.99","23.36","-23.62","10.29","9.85","8.25599","7.38","11.12199","7.56629","1.22969","6"
"Cedar Fair, L.P.","FUN","YES","0","Consumer Discretionary","49.09","14.49","-.21","-442.44","-87.69","-14.9","5.3221","-18.71","6.73799",".74057",".0709","-325.1"
"Celestica, Inc.","CLS","YES","0","Computer and Technology","8.85","1.12","-8","-13.8","-2.38","-.03","3.85599","3.43","7.479","4.64289","1.55569","1.05"
"Cemex S.A.B. de C.V.","CX","YES","0","Construction","6.97","27.74","-34.07","-1127.8","-1.22","-1.22","1.0851","-4.68","1.46119","9.24079",".4503","-11.31"
"Central Garden & Pet Company","CENT","YES","0","Consumer Discretionary","58.18","38.22","12.65","50.99","13.11","9.42","5.3899","6.23","6.68599","4.03389","1.2173","4.66"
"Central Garden & Pet Company","CENTA","YES","0","Consumer Discretionary","53.11","34.73","12.65","50.99","13.11","9.42","5.3899","6.23","6.68599","4.03389","1.2173","4.66"
"Century Casinos, Inc.","CNTY","YES","0","Consumer Discretionary","11.72","62.31","-40.08","-150.6","39.43","17.99","-.19244","-7.08","-.32514","85.053",".45276","-15.78"
"Ceragon Networks Ltd.","CRNT","YES","0","Computer and Technology","3.89","30.87","19.79","-629.18","-7.95","-2.89","2.53029","-5.04","5.2465","3.4714",".94651","-6.5"
"Charles River Laboratories International, Inc.","CRL","YES","0","Medical","302.19","9.81","14.51","44.55","11.55","16.47","8.213","7.78","10.68999","10.59799",".55307","12.46"
"Chart Industries, Inc.","GTLS","YES","0","Industrial Products","147.53","15.22","32.37","589.87","-9.39","9.6","3.29999","2.91","4.3927","3.48449",".4918","26.3"
"Chicos FAS, Inc.","CHS","YES","0","Retail-Wholesale","3.3","89.43","-45.24","-2723.77","-35.03","-10.71","3.1466","-12.74","2.63759","4.703",".96314","-27.2"
"China Automotive Systems, Inc.","CAAS","YES","0","Auto-Tires-Trucks","4.98","-26.49","-50.54","-149.44","-3.2","-2.86","1.82089","-.21","3.76659","4.46789",".63378","-1.17"
"China Biologic Products, Inc.","CBPO","YES","0","Medical","117.9","-8.07","2.89","9.67","4.1","13.5","12.519","7.57","14.22",".76902",".24943","29.04"
"China Cord Blood Corporation","CO","YES","0","Medical","4.52","14.2","27.56","3.96","17.32","13","4.5331","6.39","8.77519","3.3294",".15466","41.29"
"China Lodging Group, Limited","HTHT","YES","0","Consumer Discretionary","56.9","13.24","11.5","-218.11","-2.98","12.67","4.7093","-3.25","7.51679","110.444",".16247","-20.03"
"Chipotle Mexican Grill, Inc.","CMG","YES","0","Retail-Wholesale","1487.48","-3.55","29.72","1.6","7.13","9.58","7.7744","5.5","13.069","198.89199","1.07869","5.94"
"Chuys Holdings, Inc.","CHUY","YES","0","Retail-Wholesale","46.37","57.41","-6.89","-153","-24.72","4.42","5.46789","2.95","8.35429","53.518",".66974","-1.03"
"Ciena Corporation","CIEN","YES","0","Computer and Technology","55.9","-1.03","23.71","25.58","-1.12","9.16","6.9484","9.94","9.88689","5.1034",".84924","10.25"
"Cimpress plc","CMPR","YES","0","Consumer Discretionary","107.93","11.17","43.72","-141.99","-9.8","8.99","2.29559","-.24","3.6115","14.78499","1.2618","-4.39"
"Cinemark Holdings Inc","CNK","YES","0","Consumer Discretionary","23.45","21.84","-8.99","-422.3","-79.1","-11.48","3.3647","-10.6","4.03849","48.589",".12099","-89.88"
"Cirrus Logic, Inc.","CRUS","YES","0","Computer and Technology","86.72","-1.8","1.63","30.05","8.06","-1.89","13.961","13.67","17.184","3.7235",".8015","14.92"
"Citi Trends, Inc.","CTRN","YES","0","Retail-Wholesale","89.27","63.01","14.37","45.29",".18","2.17","4.39039","5.03","7.25939","3.87689","1.59899","3.06"
"Clean Harbors, Inc.","CLH","YES","0","Business Services","87.39","5","88.19","37.95","-7.86","3.92","1.5039","3.15","2.07859","9.7423",".76463","4.29"
"Clearfield, Inc.","CLFD","YES","0","Computer and Technology","30.84","16.81","-.45","145.32","9.46","6.28","7.57709","10.77","8.2972","4.33409","1.09089","9.88"
"Clearwater Paper Corporation","CLW","YES","0","Basic Materials","36.19","-8.14","-24.55","1486.69","6.08","1.17","2.3556","4.81","3.57419","6.32609","1.01479","4.13"
"ClevelandCliffs Inc.","CLF","YES","0","Basic Materials","18.47","22.66","-36.74","-141.67","169.06","10.9","8.42169",".12","13.868","2.10269",".50205","-2.28"
"Coherent, Inc.","COHR","YES","0","Computer and Technology","261.67","59.56","-21.5","-1844.17","-14.09","7.37","9.09729","1.95","11.876","1.8581",".6845","-34.01"
"Cohu, Inc.","COHU","YES","0","Computer and Technology","49.78","19.71","-68.42","80.2","9.03","22.76","4.44409","3.67","6.34299","2.6154",".59503","-2.17"
"Colfax Corporation","CFX","YES","0","Industrial Products","44.27","7.84","4.44","108.08","-7.71","-3.07","3.25069","2.66","4.48799","3.21309",".42232","1.39"
"CommScope Holding Company, Inc.","COMM","YES","0","Computer and Technology","15.54","7.5","-14.12","38.31","1.09","17.11","4.7483","2.23","5.64459","5.4942",".61031","-6.8"
"Commercial Vehicle Group, Inc.","CVGI","YES","0","Auto-Tires-Trucks","9.76",".73","46.77","-292.03","-20.37","3.23","4.03609","-.4","6.3007","7.8081","1.67519","-5.16"
"Computer Programs and Systems, Inc.","CPSI","YES","0","Medical","30.32","5.94","-.36","-30.4","-3.69","3.26","6.1181","4.27","7.1121","95.954",".79273","5.39"
"Conns, Inc.","CONN","YES","0","Retail-Wholesale","23.25","74.29","1.9","-105.26","-10.21","-2.16","1.48259",".08","1.79779","3.34809",".71375","-.23"
"Constellium SE","CSTM","YES","0","Industrial Products","14.72","-1.77","7.33","-125.43","-15.71","3.66",".60934","1.1","1.248","7.06969","1.1483","-.31"
"Continental Resources, Inc.","CLR","YES","0","Oils-Energy","26.02","45.34","68.93","-176.95","-44.16","14.47","2.0492","-2.83","2.5833","8.56879",".17275","-23.08"
"Controladora Vuela Compania de Aviacion, S.A.B. de C.V.","VLRS","YES","0","Transportation","15.14","9.46","-21.71","-237.23","-39.75","3.78","3.44269","-1.98","18.71199","45.56299",".32034","-18.54"
"CooperStandard Holdings Inc.","CPS","YES","0","Auto-Tires-Trucks","35.19","-3.14","-25.67","-541.57","-23.58","-6.72","3.84999","-5.53","6.5763","14.718",".92948","-11.27"
"Copa Holdings, S.A.","CPA","YES","0","Transportation","82.45","-3.81","7.9","-342.35","-70.41","-6.45","5.5857","-6.1","7.91109","3.5827",".19752","-74.73"
"Copart, Inc.","CPRT","YES","0","Business Services","112.85","-17.66","26.09","-3.6","8.01","15.29","18.68899","19.07","22.391","48.352",".63976","30.92"
"Corcept Therapeutics Incorporated","CORT","YES","0","Medical","24.16","-15.01","112.71","12.56","15.46","50.75","25.73399","20.69","32.15599","1.13119",".69076","29.96"
"Coty Inc.","COTY","YES","0","Consumer Staples","8.85","19","-14.22","60.58","-45.45","6.16","2.09689","-1.17","2.9967","2.4679",".27638","-23.68"
"Covenant Logistics Group, Inc.","CVLG","YES","0","Transportation","21.24","33.09","-7.06","-603.95","-6.26","7.44","3.0371","2.38","4.40619","87.012","1.06009","-5.08"
"Cracker Barrel Old Country Store, Inc.","CBRL","YES","0","Retail-Wholesale","171.67","20.14","-19.39","-78.25","-17.88","-2.57","11.00899","-1.14","17.47999","4.94579",".85175","2.12"
"Crocs, Inc.","CROX","YES","0","Consumer Discretionary","82.17","17.77","333.5","161.81","12.62","4.62","7.1599","24.73","13.46399","3.6774","1.55379","22.57"
"CryoLife, Inc.","CRY","YES","0","Medical","22.63","-12.54","-23.42","-1069.88","-8.32","13.25","2.85789","1.32","3.2855","1.31729",".35098","-6.59"
"CyberOptics Corporation","CYBE","YES","0","Computer and Technology","27.46","7.37","-3.26","641.86","18.31","3.31","4.5479","7.25","5.64079","1.9816",".88521","8.19"
"DAQO New Energy Corp.","DQ","YES","0","Basic Materials","71.25","12.6","-3.63","337.6","93.03","19.94","8.00979","10.96","12.359","10.31799",".57256","19.12"
"DISH Network Corporation","DISH","YES","0","Consumer Discretionary","37.43","7.35","-2.76","25.95","20.97","-2.83","4.73369","4.98","6.55119","26.03899",".43794","11.38"
"DMC Global Inc.","BOOM","YES","0","Industrial Products","52.43","16.05","2.88","-104.15","-42.36","20.75","6.81839",".47","9.89439","2.98709",".86484","-.62"
"DSP Group, Inc.","DSPG","YES","0","Computer and Technology","14.73","-16.94","7.54","-470.59","-2.66","-4.31","2.4823","2.31","3.1782","6.7423",".54917","-5.93"
"DXP Enterprises, Inc.","DXPE","YES","0","Industrial Products","30.63","27.24","20.71","-179.78","-20.67","3.66","3.29809","1.8","4.64779","6.0401","1.2711","-2.86"
"DaVita Inc.","DVA","YES","0","Medical","106.95","-16.21","14.43","-4.6","1.42","-6.84","3.9939","5.02","5.56479","77.66",".65131","6.7"
"Daktronics, Inc.","DAKT","YES","0","Computer and Technology","6.56","26.35","-26.25","203.69","6.89","-1.35","1.3837","2.57","2.3031","4.73899","1.31459","1.95"
"Danaos Corporation","DAC","YES","0","Transportation","52.75","126.47","-21.11","16.99","3.21","-3.55","4.69159","6.35","9.9973","13.645",".1714","33.26"
"Darling Ingredients Inc.","DAR","YES","0","Consumer Staples","72.22","16.49","27.59","-5.05","6.18",".04","3.17199","6.03","3.9375","6.7691",".65843","8.31"
"Dave & Busters Entertainment, Inc.","PLAY","YES","0","Retail-Wholesale","44.78","35.98","-1.98","-306.43","-67.78","-3.77","5.9043","-8.26","8.26249","2.5729",".17599","-47.42"
"Deckers Outdoor Corporation","DECK","YES","0","Consumer Discretionary","338.97","6.31","30.67","28.58","5.56","5.16","14.03299","18.14","20.71899","2.84089","1.17209","15.48"
"Delek US Holdings, Inc.","DK","YES","0","Oils-Energy","22.86","30.45","81.87","-295.75","-21.47","14.56","1.7997","-4.71","3.17339","11.946","1.1595","-8.33"
"Dell Technologies Inc.","DELL","YES","0","Computer and Technology","89.48","12.3","1.88","-33.54","2.25","13.76","3.01979","5.08","6.35419","18.499",".7789","3.44"
"Delta Air Lines, Inc.","DAL","YES","0","Transportation","51.65","15.11","5.84","-359.81","-63.63","-6.04","5.15129","-9.37","13.67899","23.041",".23411","-72.45"
"Dennys Corporation","DENN","YES","0","Retail-Wholesale","18.07","12.81","-2.38","-104.36","-46.69","-5.36","11.055","-1.39","21.09","166.04299",".62926","-1.77"
"Designer Brands Inc.","DBI","YES","0","Retail-Wholesale","17.93","108.78","4.93","-617.18","-36.02","1.54","4.796","-12.63","5.7603","3.8512","1.00269","-21.87"
"Diebold Nixdorf, Incorporated","DBD","YES","0","Business Services","13.89","22.87","-23.62","21.15","-11.49","8.64",".6338","1.63","1.26349","5.6507","1.05149","-6.9"
"Digi International Inc.","DGII","YES","0","Computer and Technology","18.98","-5.07","-4.82","43.98","9.86","9.32","2.40129","1.48","2.7149","2.7646",".54246","2.72"
"Diodes Incorporated","DIOD","YES","0","Computer and Technology","82.69","9.47","41.07","-35.99","-1.59","8.37","6.0222","6.47","7.9457","3.02489",".64955","7.98"
"Dollar Tree, Inc.","DLTR","YES","0","Retail-Wholesale","117.61","1.67","12.33","62.26","8.04","5.4","6.4492","6.51","10.06299","5.17649","1.23689","5.26"
"Domtar Corporation","UFS","YES","0","Basic Materials","37.85","10.73","-13.07","-251.19","-30.04","-1.33","3.5583","1.29","5.12919","4.30889",".89894","-2.93"
"Donnelley Financial Solutions Inc.","DFIN","YES","0","Computer and Technology","29.5","60.12","-20.13","-168.88","2.26","-3.89","7.90729","-2.8","10.68299","48.38999",".96846","-2.9"
"Dorman Products, Inc.","DORM","YES","0","Auto-Tires-Trucks","103.74","11.66","-.56","27.59","10.23","5.4","13.347","9.47","16.41799","2.5453",".92764","9.78"
"DrilQuip, Inc.","DRQ","YES","0","Oils-Energy","32.18","1.41","-52.99","-1888.84","-12.01","-11.56","1.2143","-.13","1.3025","1.28279",".31775","-8.43"
"Ducommun Incorporated","DCO","YES","0","Aerospace","63.77","10.51","33.74","-10.13","-12.78","4.83","3.30749","3.87","4.3804","3.89359",".74558","4.64"
"Duluth Holdings Inc.","DLTH","YES","0","Consumer Discretionary","16.49","43.05","-6.77","-28.24","3.76","17.07","8.53369","2.92","11.512","1.7431","1.2272","2.13"
"Dycom Industries, Inc.","DY","YES","0","Construction","91.42","11.85","-17.69","-39.99","-4.21","4.52","5.86359","3.63","7.662","33.866","1.42709","1.07"
"Dynagas LNG Partners LP","DLNG","YES","0","Transportation","2.8","3.16","-34.88","842.49","4.79","-4.9","2.91219","3.58","3.13439","177.337",".14064","24.83"
"EDAP TMS S.A.","EDAP","YES","0","Medical","9.54","63.55","-9.61","-148.8","-4.83","5.32","5.78049","-5.9","10.055","5.1241","1.50179","-3.93"
"Eagle Materials Inc","EXP","YES","0","Construction","137.72","25.35","11.52","367.42","4.13","6.42","10.22","9.79","12.23999","5.0492",".55159","21.67"
"Eagle Pharmaceuticals, Inc.","EGRX","YES","0","Medical","40.13","-18.36","-14.91","-16.24","-4.13","10.36","19.363","7.38","25.509","5.8691",".67071","6.38"
"Edwards Lifesciences Corporation","EW","YES","0","Medical","85.41","-13.44","20.18","-21.35",".88","11.84","17.09399","17.69","23.773","1.45389",".66113","18.77"
"El Pollo Loco Holdings, Inc.","LOCO","YES","0","Retail-Wholesale","17.02","-16.65","4.14","-1.71","-3.67","4.09","5.2718","4.41","7.0348","151.25599",".66943","5.74"
"Eldorado Gold Corporation","EGO","YES","0","Basic Materials","11.37","-21.91","26.7","29.68","66.18","7.67",".55739","3.51",".67562","2.64269",".21049","10.18"
"Electromed, Inc.","ELMD","YES","0","Medical","10.17","-5.17","15.88","1.73","3.74","9.47","9.62119","10.85","10.991","2.54979",".97105","11.17"
"EmbraerEmpresa Brasileira de Aeronautica","ERJ","YES","0","Aerospace","10.34","39.85","-41.4","-127.06","-30.97","-8.44","-.03136","-4.35","-.27565","1.12",".35424","-19.41"
"Emergent Biosolutions Inc.","EBS","YES","0","Medical","79.25","-19.18","28.65","458.79","40.63","26.83","8.5669","16.55","10.22299","1.97479",".60732","19.62"
"Endo International plc","ENDP","YES","0","Medical","7.39","-7.76","-13.77","143.52","-.39","-7.18","6.45249","7.27","8.31519","4.23439",".31468","6.34"
"Energy Recovery, Inc.","ERII","YES","0","Industrial Products","18.99","28.57","75.13","141.79","36.86","18.79","5.5345","14.56","8.45009","2.61179",".61378","22.18"
"Exelixis, Inc.","EXEL","YES","0","Medical","23.33","7.76","46.26","-65.18","2.04","77.38","15.93","5.42","24.40699","2.00629",".47878","11.32"
"Express, Inc.","EXPR","YES","0","Retail-Wholesale","4.34","322.08","-55.29","-146.69","-40.16","-9",".29025","-19","-7.2232","4.34829",".73044","-33.55"
"Extreme Networks, Inc.","EXTR","YES","0","Computer and Technology","8.85","19.11","-10.04","9.19","-4.8","16.95","3.8666","-2.39","9.918","6.75309",".93624","-8.58"
"F5 Networks, Inc.","FFIV","YES","0","Computer and Technology","215.35","12.7","7.25","-24.98","4.83","4.12","15.97799","8.5","31.56999","15.22",".51767","12.33"
"FARO Technologies, Inc.","FARO","YES","0","Computer and Technology","89.18","17.04","-15.51","101.01","-20.43","1.64","1.52709","-.71","1.93669","2.7964",".63928",".21"
"Fabrinet","FN","YES","0","Computer and Technology","90.52","10.08","14.75","5.01","3.63","11.36","9.5141","9.4","13.361","4.6128","1.21159","7.31"
"Ferrari N.V.","RACE","YES","0","Auto-Tires-Trucks","209.19","-14.31","14.45","-9.76","-6.31","4.42","11.93299","9.22","18.937","3.84089",".59323","17.8"
"Ferro Corporation","FOE","YES","0","Basic Materials","17.42","7.78","-2.2","608.83","-5.83",".32","6.24949","3.67","9.54409","2.44099",".52183","4.46"
"Fiesta Restaurant Group, Inc.","FRGI","YES","0","Retail-Wholesale","13.25","1.8","-39.8","87.9","-16.06","-3.99","3.73009","-.32","4.7849","49.331",".95248","-1.84"
"First Solar, Inc.","FSLR","YES","0","Oils-Energy","84.21","-22.6","-19.65","446.6","-11.48","-4.36","4.23619","5.67","5.3316","3.80739",".38574","14.69"
"Five Below, Inc.","FIVE","YES","0","Retail-Wholesale","197.43","4.83","16.75","-29.53","6.25","18.85","12.87899","5.78","23.086","3.81579",".93177","6.29"
"Flex Ltd.","FLEX","YES","0","Computer and Technology","18.51","-6.2","-30.25","1782.16","-7.97","-.19","2.45129","2.88","5.72959","5.98129","1.5963","1.8"
"Floor & Decor Holdings, Inc.","FND","YES","0","Construction","101.54","-1.66","20.64","29.44","18.59","21.8","8.2356","5.92","14.248","2.28419",".902","8.04"
"Ford Motor Company","F","YES","0","Auto-Tires-Trucks","12.92","33.08","-28.82","-2846.81","-18.45","-2.04","2.10599",".62","3.8866","10.50699",".47964","-1.02"
"FormFactor, Inc.","FORM","YES","0","Computer and Technology","50.55","9.45","297.71","99.57","17.67","17.22","8.203","11.06","9.94069","4.4997",".76802","11.32"
"Fortinet, Inc.","FTNT","YES","0","Computer and Technology","194.68","18.61","123.49","48.91","20.32","19.6","6.123","11.2","21.152","4.51219",".73167","18.76"
"Fortuna Silver Mines Inc.","FSM","YES","0","Basic Materials","7.1","-24.88",".07","-9.34","8.47","7.01","4.5928","3.21","5.4113","8.8613",".28172","7.72"
"Fossil Group, Inc.","FOSL","YES","0","Retail-Wholesale","12.86","34.92","-54.19","-83.56","-27.25","-11.69",".48015","-3.96","-.17397","2.2932","1.07829","-5.95"
"Fox Factory Holding Corp.","FOXF","YES","0","Auto-Tires-Trucks","132.8","15.45","25.52","-2.54","18.58","20.91","15.79899","10.32","20.70899","4.234",".74198","10.18"
"FreeportMcMoRan Inc.","FCX","YES","0","Basic Materials","35.01","25.17","-30.8","467.48","-1.42","-1.65","2.4546","1.97","3.84689","3.01769",".34694","4.22"
"GCP Applied Technologies Inc.","GCP","YES","0","Construction","25.67","-.65","-1.44","112.74","-10.88","-8.38","5.0734","3.93","8.0331","5.5657",".68149","10.91"
"GIII Apparel Group, LTD.","GIII","YES","0","Consumer Discretionary","30.2","15.77",".55","-83.63","-34.97","2.34","4.8926","1.46","6.76499","2.6839",".82415","1.15"
"GMS Inc.","GMS","YES","0","Retail-Wholesale","41.72","24.53","20.42","-62.73","4.02","12.46","5.8783","5.81","7.4415","6.9572","1.398",".97"
"GameStop Corp.","GME","YES","0","Retail-Wholesale","184.5","813.99","-33.31","54.28","-21.28","-11.15","4.25939","-5.58","5.07469","5.9091","2.0527","-4.23"
"Gannett Co., Inc.","GCI","YES","0","Business Services","5.24","45.84","-33.16","-459.47","82.33","21.45","1.48389","-4.04","1.77859","51.798",".99637","-19.69"
"Genasys Inc.","GNSS","YES","0","Consumer Discretionary","7.16","-1.68","-4.22","350.83","16.31","26.05","2.08439","6.62","2.76009","3.02049",".66763","25.17"
"Generac Holdings Inc.","GNRC","YES","0","Computer and Technology","333.64","31.65","19.24","39.11","12.74","14.52","11.88899","14.18","16.09199","2.7274",".85466","14.11"
"General Motors Company","GM","YES","0","Auto-Tires-Trucks","61.94","35.02","-11.55","-4.53","-10.75","-6.26","3.80559","2.98","7.99259","10.302",".51086","5.25"
"Genesco Inc.","GCO","YES","0","Retail-Wholesale","48","42.55","-12.98","-191.93","-18.69","-10.56","3.759","-1.01","6.08769","2.7688","1.0748","-3.16"
"Gentherm Inc","THRM","YES","0","Auto-Tires-Trucks","77.39","8.01","-.49","59.12","-6.03",".31","8.8118","8.25","11.543","5.52089",".99764","6.54"
"Gibraltar Industries, Inc.","ROCK","YES","0","Construction","89.78","15.63","19.43","-.81","-1.42","1.5","6.9889","9","9.90709","9.0288","1.04289","5.71"
"Gildan Activewear, Inc.","GIL","YES","0","Consumer Discretionary","32.2","5.1","-28.3","-186.7","-29.84","-2.67","9.9454","-1.12","11.14799","1.7824",".61321","-11.37"
"Globus Medical, Inc.","GMED","YES","0","Medical","63.79","-11.32","6.55","-34.1",".47","9.13","12.23099","9.4","13.479",".97307",".51182","12.96"
"Gol Linhas Aereas Inteligentes S.A.","GOL","YES","0","Transportation","8.07","-24.87","8.05","-3473.28","-63.29","-4.82","-.72062","-15.31","-40.278","16.38599",".46963","-92.08"
"Golden Ocean Group Limited","GOGL","YES","0","Transportation","6.89","34.58","-68.72","-470.17","-13.86","30.94","-.31072","-.44","-.24339","71.94",".22192","-22.65"
"Golden Star Resources, Ltd","GSS","YES","0","Basic Materials","3.23","-21.05","-16.32","22.68","2.93","4.33","5.68909","11.12","362.66699","3.9869",".83186","-17.61"
"Grupo Aeroportuario del Sureste, S.A. de C.V.","ASR","YES","0","Transportation","183.42","1.73","-2.65","-64.27","-32.28","8.69","10.329","3.5","11.373","694.42199",".2073","16.9"
"Grupo Televisa S.A.","TV","YES","0","Consumer Discretionary","9.55","1.5","-18.13","-133.24","-13.44","-1.53","1.09479","-.59","1.3234","39.69599",".33059","-1.78"
"Haemonetics Corporation","HAE","YES","0","Medical","113.3","-11.41","18.63","35.61","2.16","1.42","9.12759","9.73","12.126","1.55369",".65035","12.23"
"Harsco Corporation","HSC","YES","0","Business Services","17.71","-9.12","10.93","-105.23","23.95","3.39","3.6006","1.18","6.45919","8.77009",".66493","-1.41"
"Harvard Bioscience, Inc.","HBIO","YES","0","Computer and Technology","6.4","23.67","19.32","-66.63","-12.12","1.23","2.21379","2.15","2.7464","1.93079",".66644","-7.65"
"Healthways, Inc.","TVTY","YES","0","Medical","23.3","7.86","33.26","22.03","-61.3","16.57","8.72529","7.44","15.319","13.20199",".80909","-23.4"
"Helen of Troy Limited","HELE","YES","0","Consumer Staples","218.2","-11.08","11.93","18.61","9.16","3.91","11.267","14.29","14.09799","3.60809",".9715","11.25"
"Henry Schein, Inc.","HSIC","YES","0","Medical","69","-4.97","-.14","-41.88","1.34","-3.5","7.45769","5.59","12.14799","5.11619","1.3306","3.99"
"Herbalife LTD.","HLF","YES","0","Retail-Wholesale","45.06","-13.22","7.76","19.81","13.63","4.03","14.81499","15.96","29.284","2.61809","1.80509","6.72"
"HeritageCrystal Clean, Inc.","HCCI","YES","0","Industrial Products","27.84","22.88","16.85","42.71","-8.66","6.23","4.00699","2.01","5.1009","0",".88503","2.94"
"Heska Corporation","HSKA","YES","0","Medical","173.72","8.37","-6.17","-992.49","60.87","5.02","5.9793","-.18","8.04759","3.1105",".52215","-7.3"
"Hexcel Corporation","HXL","YES","0","Aerospace","56.25","8.44","-11.45","-89.66","-36.22",".64","8.6351",".66","10.61299","4.40199",".47901","2.11"
"Hibbett Sports, Inc.","HIBB","YES","0","Retail-Wholesale","71.25","42.71","5.86","176","19.88","7.94","9.222","13.41","15.32499","4.374","1.82539","5.23"
"Hilton Grand Vacations Inc.","HGV","YES","0","Consumer Discretionary","38.33","11.38","-30.99","-193.06","-51.36","-4.87","9.8884","1.32","15.531",".86606",".25512","-22.48"
"Himax Technologies, Inc.","HIMX","YES","0","Computer and Technology","14.44","76.74","-19.88","446.22","32.07",".34","2.47219","5.53","4.3312","4.89769","1.02339","5.31"
"Hologic, Inc.","HOLX","YES","0","Medical","74.72","-5.96","15.9","459.48","12.15","6.9","10.218","23.11","14.27","3.8317",".63949","30.5"
"Horizon Therapeutics Public Limited Company","HZNP","YES","0","Medical","89.99","14.36","12.76","-31.98","69.26","15.82","8.61509","16.58","11.428","7.43319",".42535","17.72"
"Hostess Brands, Inc.","TWNK","YES","0","Consumer Staples","14.74","-8.46","8.74","2.57","12","8.4","2.01819","2.99","2.55029","13.24699",".3054","6.37"
"Howmet Aerospace Inc.","HWM","YES","0","Construction","31.4","3.5","13.66","-44.47","-62.94","-13.85","3.5617","4","5.7718","2.1352",".51959","3.82"
"HudBay Minerals Inc","HBM","YES","0","Basic Materials","7.91",".13","65.42","57.95","-11.72",".82",".64926","-2.64",".90997","7.5429",".24111","-13.24"
"Hyatt Hotels Corporation","H","YES","0","Consumer Discretionary","86.12","6.3","7.38","-191.78","-58.84","-6.16","1.73129","-6.21","2.4939","179.73899",".23455","-34.03"
"ICU Medical, Inc.","ICUI","YES","0","Medical","205.01","-12.08","22.23","-14.02",".38","33.3","8.7402","7.38","10.51","2.5471",".70914","6.83"
"IDEXX Laboratories, Inc.","IDXX","YES","0","Medical","492.9","-9.47","25.28","36.02","12.45","10.7","21.131","28.42","50.575","5.23029","1.3221","21.49"
"IEC Electronics Corp.","IEC","YES","0","Computer and Technology","12.58","-15.44","93.6","45.99","16.39","11.79","3.93179","5.63","6.703","3.2332","1.4692","3.83"
"IIVI Incorporated","IIVI","YES","0","Industrial Products","75.47","-8.74","2.96","367.45","74.68","28.9","4.78719","3.96","5.7361","2.72079",".53833","6.63"
"IMAX Corporation","IMAX","YES","0","Consumer Discretionary","22.03","11.99","-3.58","-406.78","-65.37","-10.49","1.63289","-12.7","1.57","2.154",".13144","-104.94"
"IPG Photonics Corporation","IPGP","YES","0","Computer and Technology","225.34","-8.24","-6.05","-11.46","-8.66","5.74","13.71599","7.3","15.48499","1.80569",".43","13.29"
"IT Tech Packaging Inc","ITP","YES","0","Basic Materials",".648","9.35","-31.38","-396.9","-14.18","-6.19","-.23796","-3.47","-.25094","21.621",".53087","-6.54"
"Iamgold Corporation","IAG","YES","0","Basic Materials","3.22","-20.19","4.52","110.32","16.56","4.33",".31591","2.17",".42168","2.9756",".31152","3.43"
"Ichor Holdings, Ltd.","ICHR","YES","0","Computer and Technology","60.42","89.99","-21.01","210.18","47.26","15.39","13.77999","8.15","20.11","5.5858","1.4383","3.64"
"Illumina, Inc.","ILMN","YES","0","Medical","414.84","-4.27","16.64","-34.53","-8.58","10.59","12.416","9","16.048","2.5803",".43922","20.25"
"Incyte Corporation","INCY","YES","0","Medical","83.18","-11.84","52.48","-166.17","23.53","25.15","1.0008","-8.29","1.1236","8.2403",".8312","-11.09"
"Ingevity Corporation","NGVT","YES","0","Basic Materials","74.39","-9.08","28.8","1.36","-5.94","8.91","10.84599","8.87","13.571","3.5211",".53211","15.31"
"Inogen, Inc","INGN","YES","0","Medical","52.16","7.38","-10.73","-127.82","-14.77","17.33","8.68389","-1.27","10.579","5.3298",".67083","-1.89"
"Inphi Corporation","IPHI","YES","0","Computer and Technology","183.3","5.58","-13.77","18.06","86.79","16.37","2.1663","6.89","2.67849","3.20519",".65899","-8.75"
"Insight Enterprises, Inc.","NSIT","YES","0","Retail-Wholesale","95.22","16.69","26.11","8.3","7.88","10.59","5.1163","5.31","12.09799","35.49399","2.01749","2.07"
"Integer Holdings Corporation","ITGR","YES","0","Medical","92.76","4.97","12.39","-19.8","-14.68","-1.75","4.33069","3.77","5.1598","4.8555",".44073","7.2"
